id,ja,en
0,"おちゃ","green teas, green tea, tea"
1,"ください","please"
2,"すし","sushi"
3,"ごはん","rice, meal, meals"
4,"みず","water"
5,"と","and, that, door"
6,"です","there is, it's, I'm"
7,"いしゃ","doctor, doctors"
8,"せんせい","teacher, Professor, teachers"
9,"やさしい","kind, easy, nice"
10,"べんごし","lawyer, lawyers"
11,"かっこいい","cool, good-looking, stylish"
12,"ひと","person, people"
13,"がくせい","student, students"
14,"けん","Ken, ticket"
15,"こんにちは","hello, hi"
16,"どうぞよろしく","nice to meet you"
17,"はな","flowers, flower, Hana"
18,"なおみ","Naomi"
19,"こんばんは","tonight, good evening, this evening"
20,"さん","Mr., Miss, Mrs."
21,"じゃあね","bye"
22,"またあした","see you tomorrow"
23,"カレー","curry"
24,"は","is, with, regarding"
25,"おいしい","good, delicious, tasty"
26,"ラーメン","ramen"
27,"これ","this (one), these, this"
28,"それ","that (one), it, that"
29,"ピザ","pizza"
30,"ケーキ","cake"
31,"はい","yes"
32,"いいえ","no"
33,"か","or, is it?, that"
34,"おおきい","big, large"
35,"にほん","Japan"
36,"ちいさい","small, little"
37,"アメリカ","America, the USA, the US"
38,"カナダじん","Canadian"
39,"アメリカじん","American"
40,"カナダ","Canada"
41,"にほんじん","Japanese"
42,"イギリス","Britain, the United Kingdom, British"
43,"ブラジル","Brazil"
44,"イギリスじん","British"
45,"ブラジルじん","Brazilian"
46,"どこ","where"
47,"コンビニ","convenience store"
48,"ホテル","hotel"
49,"バスてい","bus stop"
50,"ここ","here"
51,"デパート","department store"
52,"えき","station, train station, stations"
53,"だいがく","university, college"
54,"そこ","there"
55,"ぼうし","hat, hats"
56,"かさ","umbrella, umbrellas"
57,"わたしの","my, mine"
58,"あかい","red"
59,"コート","coat"
60,"しろい","white"
61,"くつ","shoes, shoe"
62,"これら","these"
63,"それら","they, them, those"
64,"なかやま","Nakayama"
65,"この","this, these"
66,"たなか","Tanaka"
67,"あかるい","bright, cheerful, well-lit"
68,"かわいい","cuter, cute, pretty"
69,"その","the, that, its"
70,"おもしろい","interesting, fun, funny"
71,"やまぐち","Yamaguchi"
72,"いち","one, an"
73,"に","to, in, as (a)"
74,"じ","o'clock"
75,"三","3, three, third"
76,"なんじ","what time"
77,"二","two, 2"
78,"一","one, an, a"
79,"いま","now, current"
80,"ごろ","around, about"
81,"すみません","excuse me"
82,"はん","thirty"
83,"くうこう","airport"
84,"ちかてつ","subway"
85,"じゃないです","is not, we're not, aren't"
86,"きっぷ","ticket"
87,"ちず","map"
88,"スマホ","smartphone"
89,"の","for, 's, one"
90,"パスポート","passport"
91,"山口","Yamaguchi"
92,"田中","Tanaka"
93,"中山","Nakayama"
94,"かばん","bag"
95,"おなまえは","what's your name"
96,"はじめまして","nice to meet you, how do you do"
97,"おはようございます","good morning"
98,"ようこそ","welcome"
99,"私","I"
100,"東京","Tokyo"
101,"しゅっしん","from, origin, hometown"
102,"も","even, any, also"
103,"ニューヨーク","New York"
104,"にすんでいます","is living"
105,"京都","Kyoto"
106,"おおさか","Osaka"
107,"日本","Japan, Japanese"
108,"どう","how (about), what, how"
109,"とし","years, cities, city"
110,"にぎやか","lively"
111,"トロント","Toronto"
112,"しずか","quiet"
113,"きれい","clean"
114,"とても","very"
115,"まち","town, wait, city"
116,"母","mom, mother, my mom"
117,"かぞく","family"
118,"父","dad"
119,"エンジニア","engineer"
120,"いそがしい","busy"
121,"さい","years old"
122,"いもうと","my younger sister"
123,"四","four"
124,"あね","my older sister"
125,"かいしゃいん","office worker"
126,"あに","my older brother"
127,"五","5, five"
128,"うるさい","noisy"
129,"おとうと","my younger brother"
130,"かんごし","nurse"
131,"ゆうめい","famous"
132,"だいがくせい","college student"
133,"つま","my wife"
134,"六","six"
135,"むすめ","my daughter"
136,"おしゃれ","fashionable, stylish, well-dressed"
137,"むすこ","my son"
138,"あたまがいい","smart"
139,"七","7, seven, seventh"
140,"おっと","my husband"
141,"見ます","watch, will watch, watches"
142,"テレビ","TV"
143,"えいが","movies"
144,"よく","often"
145,"を","through, with, for"
146,"バスケットボール","basketball"
147,"します","makes, are doing, make"
148,"ときどき","sometimes"
149,"サッカー","soccer"
150,"ジャズ","jazz"
151,"ききます","listen, listens, ask"
152,"ロック","rock"
153,"おんがく","music"
154,"ニュース","news"
155,"読みます","read, will read, reads"
156,"本","books"
157,"ざっし","magazines"
158,"やきゅう","baseball"
159,"アニメ","anime"
160,"まんが","manga"
161,"Jポップ","J-pop"
162,"たべます","eat, eats"
163,"サンドイッチ","sandwich"
164,"パン","bread"
165,"まいにち","every day"
166,"ジュース","juice"
167,"のみます","drink, drinks, (will) drink"
168,"まいあさ","every morning"
169,"コーヒー","coffee"
170,"時","o'clock"
171,"七時","seven o'clock"
172,"あさごはん","breakfast"
173,"十一","eleven"
174,"十","ten"
175,"十二","twelve"
176,"ひるごはん","lunch"
177,"べんとう","boxed lunch"
178,"八","eight"
179,"半","thirty"
180,"九時","nine o'clock"
181,"まいばん","every night"
182,"ばんごはん","dinner"
183,"古い","old"
184,"さいふ","wallet"
185,"はちょっと","I don't really like, doesn't work very well, kind of"
186,"ダサい","hideous"
187,"ふく","clothes"
188,"ね","isn't it?"
189,"新しい","new, newer"
190,"Tシャツ","t-shirt"
191,"スカート","skirt"
192,"がほしいです","want"
193,"すてき","lovely, nice, cute"
194,"ドレス","dress"
195,"いい","good, like, well"
196,"あおい","blue"
197,"あの","those, ah, that (over there)"
198,"百","hundred"
199,"やすい","cheap, inexpensive"
200,"えん","yen"
201,"ネクタイ","tie, necktie, ties"
202,"いくら","how much"
203,"千","thousand"
204,"ありがとうございます","thank you"
205,"みせ","store"
206,"くろい","black"
207,"たかい","expensive, big, tall"
208,"ジャケット","jacket"
209,"てんぷら","tempura"
210,"うどん","udon"
211,"ていしょく","meal set, meal sets"
212,"レストラン","restaurant"
213,"水","water, waters"
214,"ひとつ","one"
215,"あ","ah, oh"
216,"ふたつ","two"
217,"じゃあ","well then, well, see you"
218,"みっつ","three"
219,"ええと","um"
220,"よっつ","four"
221,"おにぎり","rice balls, rice ball, onigiri"
222,"大きい","big"
223,"そば","soba"
224,"サラダ","salad, salads"
225,"みそしる","miso soup"
226,"すこし","a bit"
227,"小さい","small, little"
228,"こうちゃ","black teas, black tea, tea"
229,"アイスクリーム","ice cream, ice creams"
230,"アイスコーヒー","iced coffee"
231,"ひとりで","by myself, by herself, alone"
232,"しゅうまつ","weekend"
233,"およぎます","swim, will swim, swims"
234,"あそびます","hang out, hangs out, (I) will play"
235,"ドラマ","drama"
